company,count
7N,170
Atos ,118
PAYBACK,114
Reply,111
ALDI Tech Hub,91
PwC Polska,87
HSBC Service Delivery,84
Splunk,77
mBank,75
Infogain,72
COIG S.A.,72
PeakData,70
Accenture,70
Harman Connected Services,67
ITDS,67
Ntiative,66
Samsung R&D Institute Poland,63
KRUK S.A,61
Playtika,61
Egnyte Poland,59
Plenti,59
Nokia,58
Royal Gambit Sp. z o.o.,57
DRÄXLMAIER,55
Allegro,53
Devire,53
Sigma IT Poland,52
Procter & Gamble,49
Consid,46
DOZ S.A.,45
T-Mobile Polska S.A.,43
CRED ,43
DevsData LLC,42
Research.com,41
Cavendish Professionals,41
People More,40
Limango Polska,40
WIPRO,39
Ciklum ,39
Affirm,39
Duco,38
Arla,38
INSIGHT,38
proALPHA Group,38
Software Interactive Sp. z o.o.,38
Guesty Inc,38
iMakeable,38
WASKO S.A.,37
emagine Polska,35
KPMG,35
HL Tech,35
Onwelo Sp. z o.o.,34
Phoenix Contact,34
WP Engine,34
ITligent,33
NASK S.A.,33
Predica Sp. z o.o.,33
STATSCORE Sp. z o.o.,32
Billennium,31
Appfire,31
Fellowmind,31
NaviParking,31
Verestro SA,31
ING Poland Hubs,30
Crimson Panda,30
XPERI Poland,30
eSky.pl,30
SMART business,30
LSEG,30
IQVIA Commercial Sp. z o.o.,30
Symfonia,30
Product Madness,29
PeopleTrust Sp. z o.o.,29
Benefit Systems,28
SmartBear,28
Connectis,27
Capgemini Polska,27
N-iX,27
Sii,27
Experis Manpower Group,27
Wazdan Solutions,27
Unity Group ,26
Polska Grupa Lotnicza,26
Tidio,26
DNV,25
Mindbox,25
Netguru,25
Emerge IT Support,25
CRODU,25
Crestt,24
Order Group,24
Exatel S.A.,24
SchenkerTechnologyCenter Warsaw Sp.zo.o.,24
Setapp,24
BEC Poland,24
HR Bank / Headhunting Agency,24
Codilime,24
BURY,23
MasterBorn Sp. z o.o.,23
Decerto,23
Demant,23
Deloitte Polska,23
Compuco,22
Meble Wójcik,22
Cognizant Technology Solutions,22
o4b Sp. z o.o.,22
Kainos,22
StratsLab,22
Cpl Poland,22
Mobile Vikings,21
Nordic Services sp. z o.o.,21
PMI,21
Quad IT Global Solutions,21
Skillspark,21
Altimetrik Poland,21
Heretto,21
Nordea,21
OpusCapita,21
Shaped Thoughts,21
Clouds on Mars Sp. z o.o.,21
Concentrix,21
Finkorp,21
Future Processing,20
LLInformatics ,20
TKH Technology,20
First Line Software,20
Haddad Brands,20
Polar Night Software,20
Whirly,20
Evertz,20
Digital First AI,20
Universal Investment,20
Cere Network,20
Alstom,20
Elsewhen,20
Cryptocurrency Software Solutions,19
PubNub,19
Murka,19
Infinite,19
10Clouds,19
Ragnarson,19
Hypatos.ai,19
Vodeno,19
adshero,19
CXC Global Poland SP z.o.o,19
Jakdojade (City-nav Sp. z o.o.),19
eo Networks,19
Nortal,19
iSourceTec,19
Qualtrics,19
dotLinkers,19
Unide,19
Knowit Poland sp. z o.o. ,19
Omtech Sp. z o.o.,19
Dataedo,19
Endava,19
ARCHE CONSULTING,18
Stonex Poland,18
Vienna Insurance Group Polska,18
Alter Solutions Polska,18
Aplikacje Krytyczne,18
Medicover,18
kaes.,18
CKSource,17
Xebia sp. z o.o.,17
Divante,17
Raben,16
Fujitsu Technology Solutions Sp. z o.o.,16
Atos Polska,16
DNA Technology,16
Blue Media S.A.,16
CloudFerro sp. z o.o.,16
BNP Paribas SA oddział w Polsce,16
PSE Innowacje sp. z o.o.,15
Accenture Sp. z o. o.,15
Distribusion Technologies,15
Grape Up,15
Enxoo,15
NeuroSYS,15
Codibly,14
Respect Energy,14
Primaris,14
Dynatrace,14
BNP Paribas Bank Polska,14
Sollers Consulting Sp. z.o.o,14
Gibbs Hybrid Poland,14
Consult Red,14
Neontri,14
Objectivity,14
ASSA ABLOY,14
Simplicity Recruitment,14
Sopra Steria,14
Silky Coders,14
GGS IT Consulting,13
Datumo,13
Sigma Software,13
ADASTRA,13
CloudTalk,13
Bosch Polska,13
Generali Poland,13
BCF Software Sp. z o.o.,13
Axabee,13
Code Poets,13
Exness,12
Severalnines,12
ProService Finteco Sp. z o.o.,12
VM.PL,12
Margo,12
FINANTEQ,12
EENGINE Sp. z o.o.,12
Medpace,12
Playbook Engineering,12
NeoGames,12
Infoprojekt sp. z o. o. ,12
BitBag,12
QATestLab,12
ASTEK Polska,12
Consileon Polska,12
Aterian,12
Q-PERIOR Polska,12
DXC Technology,12
ITMAGINATION,11
Volue Sp. z o.o.,11
Grupa ABS,11
GRUPA INTERIA.PL,11
Vality,11
QualityMinds,11
DSV ISS,11
Flyps,11
Pontica Solutions,11
BlueSoft,11
Laurens Coster Sp. z o.o.,11
home.pl,11
Lemisoft,11
Przelewy24,11
i2a Solutions,11
ITFS,11
PPM,11
SoftTech,11
Heineken,11
SETH SOFTWARE sp. z o.o.,11
HAYS Poland,10
Schibsted,10
JAAQOB,10
Sirocco Mobile,10
Odrabiamy.pl,10
Software-House.eu,10
MeDirect ,10
SLODKIE,10
MeDirect,10
eStoreMedia sp. z o.o.,10
KMD Poland,10
Starburst,10
Displate,10
Master of Code Global,10
Comtegra,10
Kaseya,10
Payarto,10
Sevenet S.A.,10
ClearCourse Dev,10
BPMRIDERS,10
Corva,10
Bank Millennium,10
ITLT,10
Envelo,10
AG Systems,10
StepStone Services,10
RxS,10
BonaSoft Sp. z o.o.,10
amb software,10
Adanto Software,10
Averna,10
Adamed,10
Sofomo,10
myTU,10
SonarHome S. A.,10
Analyx,10
Lyreco Advantage,10
KODLAND,10
hubQuest,10
SEEKR,10
Adchitects,10
FLOWAIR Sp. z o.o.,10
LiveChat Software SA,10
Focusly Sp. z o.o.,10
Sastrify,10
Develtio,10
Iver Polska,10
Startup Development House,10
Daytrip,10
Fiserv Polska S.A.,10
Adaptiq,10
X13,10
GreenWay Polska,10
Growl,10
Ice Code Games,10
Tesco Technology,9
IN Team,9
Snowflake,9
Macrix Technology Group,9
NTT DATA Business Solutions,9
Drukarnia Interak,9
Link Group,9
Supermetrics,9
Human4Human Recruitment,9
Miquido,9
Aptiv Services Poland S.A.,9
Direct Communication,9
YES Biżuteria,9
PKO Bank Polski,9
Mc COMP S.A.,9
TransferGo,9
WIZCODE,9
Synerise,9
Comarch,9
Volven,9
PROLIGHT Sp. z o.o.,9
From Poland With Dev,9
apreel,9
DCG ,9
Punkta Pro,9
Paramount,9
Synergy Sports,9
Pentacomp Systemy Informatyczne S.A.,9
QBICO Sp. z o.o.,9
Tooploox,9
PKO BP Finat,9
Halfing&Petersen,8
Avanade Poland,8
Transition Technologies-Systems,8
CERI International,8
Inspeerity,8
Ligo Headhunters,8
CodeTwo - HRejterzy,8
DO OK • Life-changing software services,8
Redge Technologies,8
Ringier Axel Springer Polska,8
j-labs,8
Appliscale,8
Asseco Data Systems,8
sky gate,8
IPF Digital,8
e-Loop,8
Swyply,8
ERLI S.A.,8
PCSS,8
dmt Software House,8
Pivotal Polska Sp. z o.o.,8
LSJ HR Group,8
EcoVadis,8
Polcode,8
Provident Polska,8
STEPWISE,8
Winged IT,8
Insys Video Technologies,8
Macopedia,8
VeloBank S.A.,8
UNIQA,8
Scalo,8
Brunata Zenner,8
David Kennedy Recruitment Inc.,8
Centra,8
Haleon,8
Luxoft Poland,8
Svitla Systems,8
Itera,8
PPG,8
S&P Global,8
Eagle Recruitment,7
Survicate,7
Pragmile,7
Ramp Network,7
MEV,7
Siepomaga.pl,7
KUBO,7
Dassault Systemes,7
Nexio Management,7
Fabres,7
VlogIT,7
Spyrosoft,7
Simply Talented,7
Geotronics Dystrybucja Sp. z o.o.,7
LUX MED Sp. z o. o.,7
Randstad Polska Sp. z o.o.,7
Nethone,7
Optiveum,7
Polkomtel Sp. z o.o.,7
FIS Technology Services,7
Crealogix,7
Opera Software,7
Mudita,7
Andersen,7
XTB,7
NFQ,7
KLG Solutions Sp. z o.o.,7
Creative Ideas Sp. z o.o.,7
Hempel Paints,7
Printbox,6
CDQ,6
Falck IT Poland Sp. z o.o.,6
SoftServe,6
SPEEDNET,6
MAN Trucks Sp. z o.o.,6
Exadel Poland sp. z o.o.,6
Consdata S.A.,6
Lumen Technologies,6
Polskie Sieci Elektroenergetyczne S.A.,6
Clearcode,6
SOLEX B2B,6
in4mates,6
Callstack,6
Axbit,6
G&L Consulting Group,6
Inetum Poland Sp. z o.o. ,6
Team Up,6
Promethean World,6
GetInData | Part of Xebia,6
Empik,6
Grupa Kapitałowa VOX,6
POLSKIE ePŁATNOŚCI S.A.,6
CottonBee,6
EWL powered by SyncHRoner,6
X-ONE,6
EPAM Systems,6
Citi,6
OUTWORKING S.A>,6
DTiQ Poland SP. z o.o.,6
Dark Passenger,6
SCS Expert Sp. zo.o.,6
Keyloop,6
AUTENTI Sp. z o.o.,6
EQ SYSTEM sp. z o.o.,6
Wirtualna Polska Media S.A. ,6
Accenture Sp. z o.o. ,6
Clurgo,6
Next Technology Professionals,6
Wunderman Thompson Technology,6
HireOne IT Recruitment,6
Kearney,6
The Codest,5
SmartRecruiters Inc.,5
VOLT,5
Noctuai,5
Cogit,5
PartnersPol Group Sp. z o.o,5
Codelab Sp. z o.o.,5
Boldare,5
Booksy,5
in4ge sp. z o.o.,5
GTV OFFICE,5
CERSANIT S.A.,5
Evolution,5
SpotOn,5
Krakow Direct,5
Luxdone,5
BRAINLY,5
SwingDev,5
STX Next,5
Kitopi,5
NATEK,5
Euro-Tax.pl,5
Ideo Sp. z o.o.,5
Inter Cars S.A.,5
DROSED HOLDING,5
SILENT EIGHT,5
Done Deliveries Sp. z o.o. SK.,5
Unikie,5
apetigo,5
The Software House,5
eService Sp. z o.o.,5
Tipico,5
core3,5
C&F S.A.,5
Metegrity,5
Awareson Sp. z o.o.,5
Kalepa,5
INFOR IT,5
GRH Polska,5
DahliaMatic Sp. z o.o.,5
RADMOR SA,5
Future Mind,5
Sport Alliance GmbH,5
Bergman Engineering,5
makeitright,5
Commerzbank,5
DataWalk,5
AirHelp,5
Kongsberg Maritime Poland Sp. z  o.o.,5
Power Diary,5
IG Group,5
Techland,4
Softax,4
JKB Group,4
Posnet Polska S.A.,4
Snigel,4
BaseLinker,4
Veolia Energia Polska,4
Convista Poland | axxiome,4
Softwareact,4
Zoolatech,4
EQTek,4
IQVIA,4
CDeX,4
EcoChain,4
SoftPos.eu,4
Xenoss,4
Customertimes,4
B2B Soft,4
Burda Media Polska,4
ITFS ,4
ArdentCode,4
SimplyVision GmbH,4
Reckitt,4
Grupa Bemo Motors,4
Bim.Point,4
Britenet,4
Merixstudio,4
Wildland,4
INPROX,4
NEUCA S.A.,4
Szkoła w Chmurze,4
BlueRider.Software Sp. z o.o.,4
Micro Solutions,4
Netcompany Poland,4
Wyższa Szkoła Kształcenia Zawodowego,4
Bright Inventions,4
ClickMeeting,4
Scalaric,4
FinTech Development Program,4
Remitly,4
Apzumi,4
Airspace Intelligence,4
gnStudio,4
"dotData, Inc.",4
Piwik PRO,4
