city,count_salary_from_pln,mean_salary_from_pln,median_salary_from_pln,min_salary_from_pln,max_salary_from_pln,std_salary_from_pln
Andrychów,1,11500.0,11500.0,11500.0,11500.0,
Balice,1,30000.0,30000.0,30000.0,30000.0,
Białystok,138,18145.360289855074,17200.0,4500.0,47600.0,7345.508365283079
Bielany Wrocławskie,1,5500.0,5500.0,5500.0,5500.0,
Bielsko-Biała,60,18259.683333333334,16800.0,5600.0,47600.0,8025.170482357615
Bochnia,1,14000.0,14000.0,14000.0,14000.0,
Busko-Zdrój,1,14000.0,14000.0,14000.0,14000.0,
Bydgoszcz,138,18596.506666666664,18000.0,5000.0,47600.0,7489.277327008839
Bytom,5,8400.0,7000.0,7000.0,13000.0,2607.6809620810595
Będzin,3,7333.333333333333,7000.0,7000.0,8000.0,577.3502691896257
Chodzież,1,10000.0,10000.0,10000.0,10000.0,
Chorzów,6,9000.0,7500.0,7000.0,15000.0,3162.2776601683795
Chrzanów,1,14000.0,14000.0,14000.0,14000.0,
Czerwińsk nad Wisłą,1,20000.0,20000.0,20000.0,20000.0,
Częstochowa,52,17941.078461538462,17000.0,5000.0,47600.0,7286.671801237283
Dąbrowa Górnicza,5,8400.0,7000.0,7000.0,13000.0,2607.6809620810595
Długołęka,1,15000.0,15000.0,15000.0,15000.0,
Elbląg,5,12300.0,12000.0,5500.0,16000.0,4295.346318982906
Gdańsk,429,17712.874312354314,17000.0,3000.0,47600.0,6990.892798695168
Gdynia,75,15612.947733333334,15000.0,5000.0,35025.0,6106.232692560621
Gliwice,77,15902.87116883117,14200.0,4000.0,36000.0,7162.363565347386
Goleniów,1,7000.0,7000.0,7000.0,7000.0,
Gorzów Wielkopolski,42,19029.04761904762,19000.0,7000.0,36000.0,7190.061165153794
Grodzisk Mazowiecki,6,18620.0,19760.0,7000.0,25200.0,7252.640898321108
Grzępy,1,10000.0,10000.0,10000.0,10000.0,
Grójec,1,20000.0,20000.0,20000.0,20000.0,
Góra Kalwaria,3,15666.666666666666,15000.0,7000.0,25000.0,9018.499505645788
Głogów Małopolski,1,7000.0,7000.0,7000.0,7000.0,
Janki,1,14000.0,14000.0,14000.0,14000.0,
Jasionka,1,7000.0,7000.0,7000.0,7000.0,
Jelcz-Laskowice,1,5500.0,5500.0,5500.0,5500.0,
Jelenia Góra,5,13500.0,13000.0,10000.0,18000.0,3464.1016151377544
Józefów,1,9000.0,9000.0,9000.0,9000.0,
Jędrzejów,1,14000.0,14000.0,14000.0,14000.0,
Kalisz,3,10000.0,9000.0,8000.0,13000.0,2645.7513110645905
Katowice,323,17802.22575851393,17000.0,3200.0,47600.0,7538.74448439075
Kielce,56,18548.928571428572,17500.0,7000.0,47600.0,7549.08969312229
Kluczbork,1,7500.0,7500.0,7500.0,7500.0,
Knurów,4,7250.0,7000.0,7000.0,8000.0,500.0
Kokotów,1,7000.0,7000.0,7000.0,7000.0,
Kolbuszowa,1,7000.0,7000.0,7000.0,7000.0,
Komorniki,1,9000.0,9000.0,9000.0,9000.0,
Koniecpol,1,15000.0,15000.0,15000.0,15000.0,
Konstancin-Jeziorna,2,17000.0,17000.0,14000.0,20000.0,4242.640687119285
Kostrzyn,1,9000.0,9000.0,9000.0,9000.0,
Koszalin,6,11583.333333333334,11250.0,4000.0,20000.0,6575.839616860091
Kraków,761,17790.210302233903,18000.0,3500.0,47600.0,6588.025173085357
Kraków-Śródmieście,4,7000.0,7000.0,7000.0,7000.0,0.0
Krasne,1,7000.0,7000.0,7000.0,7000.0,
Kąty Wrocławskie,1,15000.0,15000.0,15000.0,15000.0,
Kłobuck,1,15000.0,15000.0,15000.0,15000.0,
Kłomnice,1,15000.0,15000.0,15000.0,15000.0,
Laski,1,14000.0,14000.0,14000.0,14000.0,
Legionowo,10,18412.0,19000.0,7000.0,25200.0,5990.482822314446
Legnica,7,16745.61142857143,15000.0,10199.28,28020.0,6181.116373027957
Leszno,2,15000.0,15000.0,10000.0,20000.0,7071.067811865475
Lubin,1,13500.0,13500.0,13500.0,13500.0,
Lublin,162,18211.64888888889,17000.0,3500.0,47600.0,7171.912482872514
Lubliniec,1,15000.0,15000.0,15000.0,15000.0,
Luboń,3,8333.333333333334,8000.0,8000.0,9000.0,577.3502691896259
Lębork,2,11100.0,11100.0,5500.0,16700.0,7919.595949289333
Malbork,1,5500.0,5500.0,5500.0,5500.0,
Miechów,1,14000.0,14000.0,14000.0,14000.0,
Mielec,1,7000.0,7000.0,7000.0,7000.0,
Mikołów,4,7250.0,7000.0,7000.0,8000.0,499.9999999999999
Mińsk Mazowiecki,4,21402.0,24360.0,7000.0,29888.0,9972.303779301285
Modlniczka,1,10000.0,10000.0,10000.0,10000.0,
Mosina,1,9000.0,9000.0,9000.0,9000.0,
Murowana Goślina,1,10000.0,10000.0,10000.0,10000.0,
Myszków,1,15000.0,15000.0,15000.0,15000.0,
Mysłowice,4,7250.0,7000.0,7000.0,8000.0,499.9999999999999
Myślenice,1,14000.0,14000.0,14000.0,14000.0,
Nadarzyn,4,19000.0,18000.0,15000.0,25000.0,4546.060565661952
Namysłów,1,15000.0,15000.0,15000.0,15000.0,
Niepołomice,9,10866.666666666666,8000.0,6000.0,30000.0,7685.05042273634
Nowy Dwór Mazowiecki,13,20059.46153846154,21750.0,7000.0,29888.0,5773.572732941372
Nowy Sącz,6,17833.333333333332,16000.0,14000.0,30000.0,6013.872850889572
Nowy Targ,1,14000.0,14000.0,14000.0,14000.0,
Oborniki,1,10000.0,10000.0,10000.0,10000.0,
Olesno,1,15000.0,15000.0,15000.0,15000.0,
