company_name,count_salary_from_pln,mean_salary_from_pln,median_salary_from_pln,min_salary_from_pln,max_salary_from_pln,std_salary_from_pln
.mdd,1,8000.0,8000.0,8000.0,8000.0,
10Clouds,19,15000.0,15000.0,15000.0,15000.0,0.0
180heartbeats / JvM,1,12000.0,12000.0,12000.0,12000.0,
4 o'clock Interactive,1,12000.0,12000.0,12000.0,12000.0,
4Experience Sp. z o. o.,3,6720.0,6720.0,6720.0,6720.0,0.0
7N,170,23534.34117647059,23520.0,8400.0,38640.0,5384.729361547432
ADASTRA,4,24765.0,28020.0,15000.0,28020.0,6510.0
ADVA Optical Networking Sp. z o.o.,3,14000.0,14000.0,14000.0,14000.0,0.0
AG Systems,10,14000.0,14000.0,14000.0,14000.0,0.0
AGORA S.A.,1,14000.0,14000.0,14000.0,14000.0,
AP-Tech,1,16000.0,16000.0,16000.0,16000.0,
ARCHE CONSULTING,4,18000.0,19000.0,15000.0,19000.0,2000.0000000000005
ARRIS,1,10000.0,10000.0,10000.0,10000.0,
ASTEK Polska,12,19216.666666666668,20500.0,14800.0,21000.0,2429.3034292807365
ATENEUM sp. z o.o. sp.j.,2,7250.0,7250.0,7000.0,7500.0,353.5533905932738
ATOMIS Elektronika,1,8000.0,8000.0,8000.0,8000.0,
AUCTANE Poland,1,9666.0,9666.0,9666.0,9666.0,
AUTENTI Sp. z o.o.,6,15000.0,15000.0,15000.0,15000.0,0.0
Able,1,28020.0,28020.0,28020.0,28020.0,
Acaisoft,3,25000.0,24000.0,20000.0,31000.0,5567.764362830022
Accenture,4,13250.0,13000.0,13000.0,14000.0,500.00000000000017
Accenture ,2,14000.0,14000.0,14000.0,14000.0,0.0
Acclaim,1,12000.0,12000.0,12000.0,12000.0,
Adanto Software,10,20000.0,20000.0,20000.0,20000.0,0.0
Adaptiq,10,19305.0,19305.0,19305.0,19305.0,0.0
Adchitects,10,8000.0,8000.0,8000.0,8000.0,0.0
Addepto,1,20160.0,20160.0,20160.0,20160.0,
Adform Sp. z o.o.,2,20568.0,20568.0,17136.0,24000.0,4853.580946064462
Adverity,2,27086.0,27086.0,27086.0,27086.0,0.0
Advox Studio,3,7000.0,7000.0,7000.0,7000.0,0.0
Aerobits Sp. z o.o.,1,20000.0,20000.0,20000.0,20000.0,
Affirm,39,23238.666666666668,22042.0,18800.0,30175.0,2894.082786555802
AirHelp,5,22400.0,24000.0,16000.0,24000.0,3577.7087639996635
Airspace Intelligence,4,19900.0,23400.0,9400.0,23400.0,7000.0
Akademia Górniczo-Hutnicza w Krakowie,1,6000.0,6000.0,6000.0,6000.0,
All Good S.A.,1,14000.0,14000.0,14000.0,14000.0,
Allegro,25,14428.0,16100.0,12300.0,16100.0,1925.1666594522842
Alphamoon sp. z o.o.,1,14000.0,14000.0,14000.0,14000.0,
Alter Solutions Polska,18,23486.666666666668,23200.0,16800.0,29000.0,3187.571452486341
Altimetrik Poland,21,20047.619047619046,20000.0,12000.0,27000.0,5545.053565802504
Altkom Experts,2,27500.0,27500.0,25000.0,30000.0,3535.5339059327375
Altkom Software & Consulting,1,4200.0,4200.0,4200.0,4200.0,
Amberlo,2,12842.5,12842.5,7005.0,18680.0,8255.471670352943
Amer Sports,1,23350.0,23350.0,23350.0,23350.0,
Analyx,10,9000.0,9000.0,9000.0,9000.0,0.0
Andea,4,11000.0,9750.0,7500.0,17000.0,4527.6925690687085
Andersen,6,29500.0,27000.0,27000.0,42000.0,6123.724356957945
Angry Nerds,1,18500.0,18500.0,18500.0,18500.0,
Anixe,1,9000.0,9000.0,9000.0,9000.0,
Answear.com S.A.,1,10000.0,10000.0,10000.0,10000.0,
AnywhereWorks,1,8000.0,8000.0,8000.0,8000.0,
Aon,3,18700.0,18700.0,18700.0,18700.0,0.0
Apilo,3,9500.0,9500.0,9500.0,9500.0,0.0
Apius Technologies S.A.,3,12000.0,12000.0,12000.0,12000.0,0.0
Aplikacje Krytyczne,14,14035.714285714286,12500.0,11000.0,18000.0,2741.8711025241764
Apollogic,2,9000.0,9000.0,8000.0,10000.0,1414.213562373095
AppTailors,1,9000.0,9000.0,9000.0,9000.0,
AppUnite,1,12000.0,12000.0,12000.0,12000.0,
Appfire,30,14393.333333333334,13000.0,10800.0,32000.0,4543.273416088155
Applause,1,18000.0,18000.0,18000.0,18000.0,
Appliscale,8,15250.0,14500.0,5000.0,23000.0,5437.961803049794
Apptimia,1,12000.0,12000.0,12000.0,12000.0,
Apptio,2,22000.0,22000.0,22000.0,22000.0,0.0
Appwise,2,9000.0,9000.0,8000.0,10000.0,1414.213562373095
Appwise Software House,3,13000.0,13000.0,13000.0,13000.0,0.0
Apzumi,4,11250.0,10000.0,8000.0,17000.0,4272.001872658766
ArdentCode,4,19250.0,19250.0,19000.0,19500.0,288.67513459481285
Ardigen S.A.,1,18000.0,18000.0,18000.0,18000.0,
Asco Systemy Informatyczne,1,12000.0,12000.0,12000.0,12000.0,
Aspire Systems Poland,3,13333.333333333334,14000.0,11000.0,15000.0,2081.6659994661327
Atende Industries,1,12000.0,12000.0,12000.0,12000.0,
Aterian,12,16945.5,17160.0,6435.0,22737.0,5057.835406574634
Aurora Creation,1,8400.0,8400.0,8400.0,8400.0,
Autodesk,1,22500.0,22500.0,22500.0,22500.0,
Avanade Poland,4,15260.0,15120.0,14000.0,16800.0,1154.469575172945
Averna,10,13000.0,13000.0,13000.0,13000.0,0.0
Avra Software,1,19320.0,19320.0,19320.0,19320.0,
Awareson Sp. z o.o.,5,20600.0,24000.0,9000.0,25000.0,6804.4103344816
Axabee,6,8550.0,8550.0,7100.0,10000.0,1588.3954167649817
Axiom health,1,21450.0,21450.0,21450.0,21450.0,
B2B Soft,4,18767.677499999998,17160.0,17160.0,23590.71,3215.354999999999
B3 Consulting Poland,1,25200.0,25200.0,25200.0,25200.0,
BCF Software Sp. z o.o.,13,15292.307692307691,15000.0,15000.0,17000.0,714.6812091899653
BEC Poland,7,6000.0,6000.0,6000.0,6000.0,0.0
BEUMER Group Poland,1,10800.0,10800.0,10800.0,10800.0,
BMS sp. z o.o.,1,10000.0,10000.0,10000.0,10000.0,
BNY Mellon (Poland) Sp. z o.o.,3,15333.333333333334,15000.0,15000.0,16000.0,577.3502691896259
BOLD PL,3,18000.0,18000.0,18000.0,18000.0,0.0
BPMRIDERS,10,6200.0,5000.0,5000.0,9000.0,1932.183566158592
BRAINLY,5,16200.0,17000.0,13000.0,17000.0,1788.854381999832
BT ELECTRONICS,1,8000.0,8000.0,8000.0,8000.0,
Backbase,1,19000.0,19000.0,19000.0,19000.0,
Bank Millennium,1,21000.0,21000.0,21000.0,21000.0,
BaseLinker,4,16000.0,16000.0,16000.0,16000.0,0.0
Bayt sp. z o.o. sp. k.,2,12000.0,12000.0,12000.0,12000.0,0.0
Bee Talents,1,26152.0,26152.0,26152.0,26152.0,
Beesafe,1,12000.0,12000.0,12000.0,12000.0,
Beetroot,1,4000.0,4000.0,4000.0,4000.0,
Bergman Engineering,5,20000.0,20000.0,20000.0,20000.0,0.0
Bertek,1,14000.0,14000.0,14000.0,14000.0,
Besoftaware,2,4000.0,4000.0,4000.0,4000.0,0.0
Betsys,1,14000.0,14000.0,14000.0,14000.0,
Better Software Group S.A.,1,15000.0,15000.0,15000.0,15000.0,
Billon (Program Kariera),2,3600.0,3600.0,3600.0,3600.0,0.0
Bim.Point,3,14944.0,14944.0,14944.0,14944.0,0.0
BitBag,12,9791.666666666666,10500.0,4000.0,15000.0,2903.433182014741
Bitcoin Technologies,1,13000.0,13000.0,13000.0,13000.0,
Bitnoise,3,16000.0,16000.0,16000.0,16000.0,0.0
Black Label,1,12500.0,12500.0,12500.0,12500.0,
Blazity,2,13000.0,13000.0,12000.0,14000.0,1414.213562373095
BlockLabs,3,25000.0,25000.0,25000.0,25000.0,0.0
BlueRider.Software Sp. z o.o.,4,10000.0,10000.0,10000.0,10000.0,0.0
BlueSoft,11,19400.0,20000.0,15120.0,20160.0,1526.1978901833147
Bluerank,1,7500.0,7500.0,7500.0,7500.0,
Boldare,5,11200.0,11200.0,11200.0,11200.0,0.0
Booksy,4,10012.5,9350.0,9350.0,12000.0,1325.0000000000002
Brainhub Sp. z. o. o.,2,19350.0,19350.0,16000.0,22700.0,4737.615433949868
Brand Technology,1,8000.0,8000.0,8000.0,8000.0,
