company_size,count_salary_from_pln,mean_salary_from_pln,median_salary_from_pln,min_salary_from_pln,max_salary_from_pln,std_salary_from_pln
+ 2000,4,10000.0,10000.0,6000.0,14000.0,3651.4837167011074
+ 30,21,24499.965714285714,25200.0,12800.0,34520.64,6198.315026602448
+- 80,3,10000.0,10000.0,10000.0,10000.0,0.0
+100,22,12050.681818181818,8000.0,6000.0,28020.0,7571.905040447777
+140,2,20000.0,20000.0,20000.0,20000.0,0.0
+27,1,11000.0,11000.0,11000.0,11000.0,
+30,2,15500.0,15500.0,13000.0,18000.0,3535.5339059327375
+40,11,5454.545454545455,5000.0,5000.0,10000.0,1507.556722888818
+50,1,15000.0,15000.0,15000.0,15000.0,
+500,7,24842.85714285714,25000.0,19500.0,29000.0,2991.018300878561
+5000,1,20160.0,20160.0,20160.0,20160.0,
+70,7,11000.0,11000.0,11000.0,11000.0,0.0
1-10,29,20052.068965517243,21000.0,6800.0,42030.0,6583.400868477772
1-100,1,22000.0,22000.0,22000.0,22000.0,
1-20,1,12000.0,12000.0,12000.0,12000.0,
1-5,2,31500.0,31500.0,27000.0,36000.0,6363.961030678927
1-50,10,6200.0,5000.0,5000.0,9000.0,1932.183566158592
1-9,10,9000.0,9000.0,9000.0,9000.0,0.0
10,65,18322.23076923077,20000.0,3000.0,32175.0,9243.108202481917
10 - 20,2,16000.0,16000.0,14000.0,18000.0,2828.42712474619
10 000+,6,11833.333333333334,13000.0,7000.0,16000.0,3970.726214015097
10+,27,13592.592592592593,12000.0,6000.0,25000.0,4601.498579135841
"10,000",1,22000.0,22000.0,22000.0,22000.0,
10- 23,4,16000.0,16000.0,16000.0,16000.0,0.0
10-15,9,11944.444444444445,15000.0,5000.0,18500.0,5113.978664188752
10-18,1,20000.0,20000.0,20000.0,20000.0,
10-20,30,17586.533333333333,18000.0,8000.0,30000.0,4980.38264513421
10-23,4,13000.0,15000.0,4000.0,18000.0,6164.414002968976
10-25,2,8500.0,8500.0,8000.0,9000.0,707.1067811865476
10-30,14,13500.0,15000.0,5000.0,15000.0,3204.5640529143384
10-50,10,13210.0,10000.0,5500.0,30000.0,8719.511963916839
100,108,17334.50925925926,16000.0,6000.0,35000.0,6198.268384196531
100 +,3,18500.0,18500.0,18500.0,18500.0,0.0
100 - 150,19,23300.0,23300.0,23300.0,23300.0,0.0
100 - 200,1,25740.0,25740.0,25740.0,25740.0,
100+,225,15872.297777777778,15000.0,3864.0,31000.0,5588.5613289912835
100-150,6,14416.666666666666,14500.0,4500.0,23000.0,7914.648865658329
100-160,1,20000.0,20000.0,20000.0,20000.0,
100-200,13,20200.76923076923,20000.0,9000.0,31000.0,6544.633248622444
100-250,3,16150.0,17000.0,10000.0,21450.0,5772.13132213743
1000,4,22500.0,25000.0,10000.0,30000.0,8660.254037844388
1000 +,1,16800.0,16800.0,16800.0,16800.0,
1000+,271,19184.077490774907,19300.0,3700.0,30000.0,4776.31111314249
10000+,32,9252.125,9000.0,7700.0,27500.0,3565.3967769968262
1001 - 5000,25,14428.0,16100.0,12300.0,16100.0,1925.1666594522842
