column_name,count
Linux,95
Windows Server,59
Powershell,55
Active Directory,37
English,37
LAN,32
Office 365,28
AWS,28
Azure,27
Microsoft Windows,25
Microsoft Azure,25
Hyper-V,24
ITIL,21
Helpdesk,20
SQL,20
IONOS,19
Python,19
Windows,19
Communication Skills,19
Docker,18
Ansible,17
Network Administration,16
MS SQL,16
VMware,14
Microsoft Windows Server,14
PostgreSQL,12
VPN,11
Cisco,11
Ceph,11
CMS,10
PrestaShop,10
Storage,10
WordPress,10
FortiGate,10
redhat,10
SharePoint,10
Veeam,10
EMC Networker,10
SCCM,9
Cognos,9
MS Windows Server,9
Firewall,9
GCP,8
Intune,8
AirWatch,7
Linux OS,7
Dataverse,7
XenMobile,7
DNS,7
MySQL,7
Monitoring Tools,7
MS SQL Server,6
WAN,6
TCP/IP,6
Databases,6
Oracle,6
SQL Profiler,6
Chef,6
Security,6
Reporting Services,6
Troubleshooting,6
Linux networking,6
RHCSA,5
Web Hosting,5
Wlan,5
Windows 10,5
Architecture,5
C++,5
MS Azure,5
Admin,4
German,4
Network,4
Synapse,4
Kubernetes,4
Azure DevOps,4
Unix,4
Project Management,4
C#,4
CyberArk,4
Debian,4
Power Platform,4
IIS,4
MC Azure,4
Management,4
MFA,4
Switch,4
PowerPlatform,4
CI,3
IT Support,3
MS Office 365,3
data centre,3
Microsoft,3
Windows Administration,3
Network Protocols,3
Problem Solving,3
C,3
Monitoring systems,3
Salesforce,3
Bash,3
SAP,3
AMPScript,3
Microsoft Dynamics NAV,3
Web Server,3
TSQL,3
CI/CD,3
Apex,3
Sieć LAN,3
AlwaysOn,3
CD,2
Data,2
Linux (terminal),2
ETL,2
Cloud,2
routing,2
Microsoft Office,2
Ubuntu,2
OpenShift,2
Linux / Unix,2
Azure AD,2
VoiP,2
Linux/Windows,2
RHEL,2
SAP BASIS,2
Information Security,2
Leadership,2
Team Leadership,2
DevOps,2
SAP ERP,2
IT,2
AD DS,2
MariaDB,2
DHCP,2
XML,2
Scripting,2
F5,2
Power Automate,2
Git,2
Microsoft Endpoint Configuration Management,2
IaaS Virtual Machines,2
MECM,2
LAN/WAN,2
MS Office,2
Java,2
ms teams,2
ITIL Service,2
CCNA,2
Team Management,2
monitoring,2
virtual machine,2
IaC,2
T-SQL,2
Meraki,2
MsSQL,1
Tibco,1
infrastruktura sieciowa,1
NAS,1
EXIMEE,1
Documentum,1
VLSM,1
Angielsk,1
Apache ActiveMQ,1
Icinga,1
Conga,1
.Net,1
Juniper,1
SQL Server,1
Kibana,1
Microsoft Intune,1
SAN,1
Splunk,1
Power BI,1
CFIN/SLT,1
Microsoft SQL,1
Basics of algorithmics,1
Azure Data Lake,1
Relational Databases,1
Trading voice,1
SCOM,1
Hardware Asset Management,1
Atomic UC4,1
SLA,1
5G,1
Middleware,1
ServiceNow,1
Spark,1
Cloud Platforms,1
Java 8,1
Solaris 11,1
Tomcat,1
Infoblox,1
BMC Helix ITSM,1
EMS,1
Cisco Network,1
TDM,1
KVM,1
BPMN,1
MS365,1
UTM,1
GitLab,1
JBoss,1
HTTP,1
Teamwork,1
Server Core,1
Oracle Linux,1
Observability,1
Cybersecurity,1
Terraform,1
Windows Active Directory,1
Solaris 10,1
Microsoft Exchange,1
ST,1
Robotic Process Automatio,1
LAN/WAN/VPN,1
Azure Data Factory,1
MS-Windows,1
JAMF,1
Microsoft Sharepoint,1
UNIX/LINUX,1
Mac,1
OpenStack,1
CentOS,1
WebSphere,1
Virtualization,1
SBC,1
Dynatrace,1
AWS / Azure,1
Networking,1
Zabbix,1
Outlook,1
Microsoft SQL Server,1
Network hardware,1
CHARM,1
Microsoft 365,1
WebLogic,1
webMethods,1
HA/LB,1
ERP,1
Mac OS,1
Power Aps,1
WSUS,1
Azure PaaS,1
Chatbot,1
Software Asset Management,1
ISO 27000,1
4D,1
CheckMK,1
JIRA,1
AIX,1
Nagios,1
Microsoft System Center,1
Solaris,1
SSL-VPN,1
HTML,1
UML,1
Checkpoint,1
OSI,1
3GPP,1
System administrator,1
JavaScript,1
Linux (Debian),1
Open Source Solutions,1
People Management,1
IT Service Management,1
Docker/Kubernetes,1
Red Hat,1
Logical Thinking,1
hosting,1
Puppet,1
