column_name,count
SQL,212
UML,169
BPMN,142
MS Excel,70
Business Analysis,66
JIRA,52
Enterprise Architect,45
English,45
Power BI,40
Python,40
Analiza Biznesowa,39
Confluence,24
Analityczne Myślenie,23
VBA,23
Analytics,22
REST API,21
Analytical Thinking,21
Data modeling,19
SOA,19
AML,19
Postman,18
Google Analytics,18
Communication Skills,17
Tableau,15
Cloud,13
XML,12
Web Applications,11
ESG,11
Sustainability,11
analiza systemowa,11
TestRail,10
Oracle,9
Office 365,9
Microsoft Office,9
Scrum,8
Power Platform,8
R,8
Salesforce,8
JavaScript,7
E-commerce,7
Agile,7
Excel,7
CRM,6
System Analysis,6
Java,5
ERP,5
SSAS,5
Bash,5
EBS,5
MS Office,5
TOGAF,5
Business Intelligence,5
DWH,5
Problem Solving,5
Webcon,5
data analytics,4
BI,4
PL/SQL,4
MS SQL,4
OLAP,4
SoapUI,4
Splunk,4
Big Data,4
IT Support,4
BMPN,4
Google Tag Manager,4
BigData,4
Oracle DB,4
Linux,3
Appian,3
User Stories,3
Product Management,3
Git,3
SSIS,3
SAP,3
ETL,3
Actimize,3
SAS,3
REST,3
SQL Server,3
SSRS,3
C#,3
Mantas,3
Cognos Analytics,2
OOP,2
HotJar,2
NESMA,2
business analyst,2
Testing,2
Murex,2
Architecture,2
Microsoft Azure,2
Oracle Business Intelligence,2
Microsoft Azure Cloud,2
Data,2
BPML,2
IFPUG,2
Team Player,2
Microsoft Power Platform,2
Project Management,2
Lean,2
eCommerce,2
DevOps,2
analiza,2
MS SQL Server,2
C++,2
MS Project,2
Oracle Data Integrator,2
Power Query,2
Databases,2
EDI,2
Microstrategy,2
FinTech,2
Bazy Danych,2
UX,2
Teamwork,2
BPM,2
Data analysis,2
Leadership,2
PowerApps,2
Oracle Analytics Server,2
SAP BW,2
Security,1
Databricks,1
Marketing analytics,1
Management,1
Information Management,1
CMDB,1
Duck Creek,1
Kontakt z klientem,1
Maxipanel,1
HTML,1
Magento2,1
Web Services,1
Scala,1
KYC processes,1
Facebook Pixel,1
German,1
Google Analitycs,1
BPMN2,1
ETL tools,1
Cloud Technology,1
Simcorp Dimension,1
Spira,1
SAS 4 GL,1
NLP,1
Metabase,1
Oneshield,1
WebService,1
ServiceNow,1
MS Power Point,1
Polish B2,1
API,1
WPF,1
OMP DSBM,1
.NET Core,1
Trading voice,1
Angielski,1
Język Angielski,1
WMS,1
Google Workspace,1
Cybersecurity,1
BBA,1
finance,1
GDPR,1
Control M,1
CDD,1
Access,1
LDAP,1
Microsoft SQL,1
Telco,1
DATA MODELLING,1
PySpark,1
SAP HANA,1
Six Sigma,1
Azure,1
RHEL,1
Figma,1
Hive,1
Research,1
Redmine,1
Computer science,1
Data Privacy,1
Axure RP,1
Vulnerability scanning tools e.g. Qualys,1
SAS Viya,1
UX/UI,1
Enterprise Architekt,1
MsSQL,1
(SAP LE,1
KYC,1
Magento,1
AWS,1
Sparx EA,1
4D,1
SAP GTS,1
VBS,1
Matomo,1
Front-End,1
Acunetix,1
Power Apps,1
Portuguese,1
Data Visualization,1
Spanish,1
OAuthZ,1
QlikView,1
UML/BPMN,1
PHP,1
XSLT,1
SEO/SEM,1
Angular,1
telecom industry,1
SAP WM,1
Looker Studio,1
Product Analysis,1
Bloomreach,1
Spark,1
Ul,1
Analiza Danych,1
Python/SQL,1
MySQL,1
Azure DevOps,1
draw.io,1
KornShell,1
ms teams,1
System analyst,1
CEH,1
Odoo,1
HTTP,1
experience,1
RabbitMQ,1
JS,1
Windows Server,1
Windows,1
Cobol,1
Agile/Scrum,1
XSD,1
3+ y. as Business Analist,1
Kanban,1
SOAP,1
Defining requirements,1
QlikSense,1
MS Access,1
bpms,1
Google Data Studio,1
MS Azure,1
BI Power,1
Android,1
Machine Learning,1
Insurity,1
Architektura IT,1
BizTalk,1
English B2,1
4gl,1
Fund Administration,1
YAML,1
Active Directory,1
Microsoft 365,1
Statistics,1
powerPoint,1
MS Power BI,1
EUDA,1
Json/XML,1
SAS Guide,1
ArchiMate,1
digital workplace,1
Investment funds,1
Productive,1
SaaS,1
OSCP,1
Shell Scripting,1
ERDS,1
Outlook,1
Adobe Analytics,1
Digital marketing,1
F2P,1
Microsoft Excel,1
communicatioIn skills,1
Data Management,1
T-SQL,1
QlikSaaS,1
Keras,1
data analyst,1
Fluent in English,1
