column_name,count
AWS,71
Architecture,50
Agile,39
UML,30
Java,30
TOGAF,25
Leadership,24
Automotive,23
ITIL,21
JIRA,21
Microsoft Azure Cloud,19
Solution Architect,19
Tekton,19
solve problems,17
planning,17
English,17
Google Cloud,15
BPMN,15
Cloud,13
Microservices,12
Serverless,11
Software Architecture,11
IT Project,10
REST API,10
Linux,10
SQL,9
Azure,8
C++,8
x86,7
C,7
VMware,7
Enterprise Architect,6
SOAP,6
Amazon AWS,6
Microservice Architecture,5
Java 11+,5
Communication Skills,5
CRM,5
Salesforce,5
CI/CD,4
ISO26262,4
Mule,4
SAP,4
Microsoft,4
Kotlin,4
webMethods,4
Problem Solving,4
Kubernetes,3
PowerApps,3
Spring,3
Microsoft Office 365 Online,3
DDD,3
MS Azure,3
Power Automate,3
Merger&Acquistion,3
GCP,3
Kafka,3
SharePoint,3
LAN,3
JavaScript,3
Scrum,2
API Management,2
IBM Cloud,2
SOA,2
Oracle,2
MS SQL,2
Data,2
Microsoft Azure,2
Team Management,2
Information Security,2
Data Lake,2
React,2
Bazy Danych,1
Workday,1
BigQuery,1
Cisco IOS,1
Google Cloud Platform,1
RESTful API,1
WIFI,1
Cloud Computing,1
TLS,1
Security,1
API,1
Project Management,1
WAN,1
IT Security,1
CD,1
Cloud Technology,1
Design,1
ETL,1
Teamwork,1
.NET Core,1
prowadzenie zespołu,1
SAP HANA,1
Cloud architecture,1
Azure Data Lake,1
Cloud Migration,1
Embedded,1
Wlan,1
Cloud security,1
Cybersecurity,1
BPM,1
Management,1
Docker,1
Apex,1
ESB,1
Azure Synapse Analytics,1
Product Management,1
Clojure,1
Business Central,1
IoT,1
SAP S4/Hana,1
LWC,1
Amazon Web Services,1
ERStudio,1
Dynamics NAV,1
Sparx,1
Archmiate,1
Software Development,1
PHP,1
Data Engineering,1
LAN/WAN,1
Git,1
C/AL,1
CDK,1
Oracle SQL,1
Azure DevOps,1
QOS,1
Reagent,1
Azure Data Services,1
CCNP,1
pyth,1
Business Analysis,1
Polish,1
Angular,1
Adobe Experience Manager,1
Windows,1
GitHub,1
Python,1
Active Directory,1
Azure SQL Server,1
Tworzenie systemów,1
Wireless,1
UML 2.x,1
projektowanie systemów,1
Oracle or PostreSQL,1
Wi-Fi,1
.NET C#,1
ERWIN,1
Snowflake,1
TCP/IP,1
Analytical Thinking,1
Portale,1
GCP/AWS/AZURE,1
MuleSoft,1
Programming,1
SAP CFIN,1
Web Development,1
Oracle Cloud,1
Autosar,1
Enterprise Interface Builder,1
Digital marketing,1
VPN,1
digital workplace,1
ASA,1
Fluent in English,1
