column_name,count
C++,204
C,103
Linux,69
English,45
Git,40
AUTOMATIVE,35
Autosar,31
Android SDK,21
Kotlin,21
MySQL,20
Embedded,20
STM32,19
Python,17
C#,15
Computer science,15
GCP,15
C++ 14,11
Embedded C,11
GCC,11
C++ Embedded,10
C++ 11,10
C/C++,9
Automotive,9
Embedded Systems,9
CMake,9
JavaScript,7
TypeScript,7
Windows,6
Rust,5
LUA,5
JIRA,5
Angielski,5
Elektronika,5
RTOS,5
PostgreSQL,4
Test Automation,4
ASPICE,4
Computer Vision,4
TCP/IP,4
React,4
STL,4
boost c++,4
C++11,3
AWS,3
Java,3
MFC,3
ARM,3
Couchbase,3
2D graphics/algorithms,3
Android,3
MCUs,3
Distributed systems,3
Design Patterns,2
CI,2
Team Management,2
Polish,2
WPF,2
Software Development,2
C++17,2
SQL,2
Linux Kernel,2
Bash,1
REST,1
Networking,1
U-boot,1
OOPS concepts,1
Matlab,1
.NET Core,1
Smalltalk,1
People Management,1
Shell,1
Embedded SW development,1
Cloud,1
HFSQL/SQL,1
stash,1
Java 8,1
С++,1
Spring Boot,1
Windev environment or C++/C#,1
Arduino,1
Kubernetes,1
Windows API,1
.Net,1
Leadership,1
ST,1
SVN,1
oscilloscopes,1
AOSP,1
Algorithms,1
Management,1
BIOS,1
Unix,1
Problem Solving,1
OOP,1
Unity,1
Google Cloud,1
ROS,1
