column_name,count
SQL,221
Python,204
AWS,79
ETL,74
Big Data,57
Oracle,48
Data Science,39
T-SQL,38
Power BI,34
Snowflake,34
Hadoop,34
Azure,30
PL/SQL,29
Data,29
MS SQL,26
NoSQL,25
ETL tools,25
Spark,25
Machine Learning,24
Airflow,24
DevOps,23
PostreSQL,22
English,22
Scala,22
Amazon AWS,22
AI/ML,21
Data modeling,20
MySQL,20
R,20
Cloud,20
DBMS,20
Hyper-V,19
Microsoft,19
Amazon Web Services,19
Java,18
Databases,18
analyst,18
Linux,18
AlwaysOn,17
TSQL,17
Data architecture,14
Apache Spark,14
Cloud Computing,13
REST API,13
Microsoft Azure,12
PostgreSQL,12
Software Development,12
API,12
Cloudera,11
Business Intelligence,11
GCP,11
Python 3,10
Google Analytics,10
Confluent Kafka,10
Data Engineering,9
DWH,8
Google Cloud Platform,8
SAS,8
Kubernetes,8
Kafka,7
Windows,7
Microsoft SQL Server,7
Tableau,7
Dataverse,7
MS Excel,7
"Azure, Active Directory",7
Azure Data Factory,7
Agile,6
Bazy Danych,6
PySpark,6
DAX,6
Relacyjne Bazy Danych,5
Analytics,5
SQL Server,5
BigQuery,5
Azure DevOps,5
C#,5
MS SQL Server,4
BI,4
Data Management,4
Git,4
Datawarehousing,4
Team Leadership,4
OBIEE,4
PowerPlatform,4
Apache Kafka,4
TensorFlow,4
Oracle DB,4
Polish,4
Powershell,4
Python (preferred),3
Data Warehousing,3
Oracle 19c,3
data standards,3
IaC,3
ITIL,3
Prometheus,3
Data procesing,3
Power Platform,3
SSIS,3
Databricks,3
FAIR data principles,3
GKE,3
PyTorch,3
Pandas,3
CD,2
Trading voice,2
Deep Learning,2
Pentaho,2
BY RedPrairie Dispatcher,2
AI,2
PL/pgSQL,2
Power Query,2
Microsoft SQL,2
Azure Data Lake,2
NLP,2
AIX,2
Microsoft Office 365 Online,2
PowerApps,2
Azure SQL Server,2
HTML,2
Leadership,2
JavaScript,2
Relational Databases,2
Fluent in English,2
Microsoft Azure Cloud,2
Analiza Biznesowa,2
ms teams,2
Confluence,2
Azure Cubes,2
workflow,2
C,2
Looker,2
ERStudio,2
Outlook,2
Analytical Thinking,2
Low-code,2
JD Edwards,2
ERWIN,2
Azure Databricks,2
Power Automate,2
ERP,2
JSON,1
CSS,1
JVM,1
Apache Airflow,1
Oracle SQL,1
.NET C#,1
DB2,1
VBA,1
Postgres-XL/TBase,1
Data analysis,1
SSAS,1
data processing,1
SDLC,1
4D,1
Matomo,1
Azure/AWS,1
German,1
Problem Solving,1
Bash,1
Oracle PL/SQL,1
Data Integration,1
oracle ADF,1
Spark 3.x,1
TCP/IP,1
ELT/ETL,1
Azure SQL,1
SAP PowerDesigner,1
Avaloq,1
DBT,1
Azure Data Services,1
Powershell/Bash/Perl,1
Data Lake S3,1
SAS 4 GL,1
Azure Data,1
Delta Lake,1
Informatica,1
Redshift,1
Cloud Technology,1
RDBMS,1
Data Warehouse,1
Teamwork,1
HCM,1
routing protocols,1
Excel,1
BISSIS,1
TypeScript,1
GreenPlum,1
Marketing-mix modelling,1
Keras,1
master data,1
Statistics,1
Terraform,1
Microsoftw Power BI,1
BI tools,1
.Net 5,1
Azure / AWS,1
Scrum,1
4gl,1
F#,1
Microsoft SSIS,1
DWH/Data Mart,1
Data & AI,1
MDM,1
MS Azure,1
Transact-SQL,1
CI,1
SPSS,1
Teradata,1
VMware,1
Office 365,1
SQL Microsoft,1
Data architectures,1
Scala 2.x/Python 3,1
Docker,1
Contact with a client,1
Apex,1
JIRA,1
Open Source Solutions,1
ML,1
Product Management,1
Apache Nifi,1
OLAP,1
MS-SQL,1
MS Power BI,1
Adobe Analytics,1
MS-Windows,1
Digital marketing,1
orac,1
XML,1
data governance,1
