column_name,count
AWS,246
Kubernetes,204
Azure,149
Docker,145
Linux,144
DevOps,129
Terraform,113
CI/CD,102
English,69
Python,60
Cloud,48
Continuous Integration practices,38
Jenkins,36
Ansible,34
CI,29
CD,28
GCP,24
Windows,23
Bash,23
PHP,21
.Net,21
C#,21
Java,19
Continuous Deployment practices,19
Golang,19
Git,19
SRE,19
ALM,19
Express Route,19
Power Platform solutions,19
Azure DevOps,17
SQL,17
Programming,17
GitLab,15
OpenShift,15
JIRA,13
MS Azure,12
VMware,12
Google Cloud Platform,12
Node.js,12
Microsoft Azure,11
MongoDB,11
IaC,11
Spring,11
Postgres,10
Computer science,10
SaaS,10
Redis,9
Sec Ops,9
API,9
Windows Server,8
Microsoft Azure Cloud,8
Amazon AWS,8
Powershell,7
Ubuntu,7
JavaScript,6
Puppet,6
Microsoft 365 Modern Workplace,5
trouble shooting skills,5
SOAP,5
Microsoft Stack,5
Virtualization,5
RESTful,5
Azure Infrastructure,5
REST,5
RHCSA,5
Presales,5
CICD Automation,5
Analytical skills,5
ITIL process,5
redhat,5
AWS Cloud platform,4
Cloud deployment – GCP or AWS DevOps skills,4
Problem Solving,4
Technology,4
Cloud Infrastructure,4
webMethods,4
Java or Go,4
CI/CD tools,4
CI/CD pipelines / automation suits,3
Architecture,3
Bazy Danych,3
Groovy,3
SVN,3
Maven,3
Elasticsearch,3
Networking,3
Public Cloud,3
OpenStack,3
Salesforce,3
MySQL,3
Cloud Ops,3
Linux / Unix,3
Agile,3
Office 365,3
pyth,3
TypeScript,3
GitLab CI/CD,3
Tomcat,2
Oracle,2
.NET C#,2
Cloud Computing,2
Observability,2
Containers,2
Infrastructure as code,2
MECM,2
Microsoft Endpoint Configuration Management,2
Teamwork,2
SCCM,2
Dynatrace,2
Power Platform,2
MS SQL,2
JBoss,2
Leadership,2
Nagios,1
Observability tools,1
MS SQL Server,1
Troubleshooting,1
Linux/Unix,1
HTML,1
Cloud Platforms,1
DWH,1
Boomi,1
CSS3,1
Information Security,1
ServiceNow,1
Azure SQL,1
Rancher,1
Solaris,1
Remedyforce,1
Kibana,1
Bamboo,1
Security,1
MS DevOps,1
SAP HANA,1
Aurora,1
HCM,1
RDBMS,1
Microsoft SQL,1
Język Angielski,1
SecDevOps,1
AWS EKS,1
Java or Go or Python,1
SAP,1
Tableau,1
Azure DevOps.,1
Linux VMs,1
Azure Data Lake,1
ETL,1
Qlik Sense,1
Cloud Technology,1
docer,1
Ansible/Terraform,1
Microsoft Power Platform,1
Linux RHEL,1
Windows Administration,1
visualization tools,1
Team Leadership,1
Cloud environments,1
CAF,1
Power Platform AI Builder,1
Linux networking,1
Scripting,1
Amazon Web Services,1
Go,1
eBike,1
React,1
AWS / Azure / Google,1
Copado,1
SIEM,1
Linux (Debian),1
C,1
Automation Tools,1
Code Management Tools,1
PyTorch,1
QlikView,1
SharePoint,1
DNS,1
Networking Concepts,1
TCP/IP,1
Red Hat Linux,1
C++,1
Polish,1
Azure Data Faktory,1
Spark,1
Team Management,1
Spring Boot,1
TensorFlow,1
AKS,1
J2EE,1
Azure Services,1
IT Operations Experience,1
TOGAF,1
PRINCE2,1
Bitbucket,1
automation,1
Product Management,1
Docker lub Podman,1
PL/SQL,1
Application administration,1
Azure Data Factory,1
IT Infrastructure,1
landing zones in AWS,1
Microsoft,1
PowerBi,1
DevOps/SRE,1
Digital marketing,1
Terraform/Terragrunt,1
technical architecture,1
Public Cloud Platform,1
Linux/Windows,1
Red Hat,1
GitHub,1
Team City,1
SOLID Principles,1
MS Exchange,1
Machine Learning,1
Testing,1
Gearset,1
Kubernetes lub Openshift,1
PostgreSQL,1
Keras,1
Network,1
Programming (any language),1
Microsoft 365,1
DevOps/GitOps,1
EC2,1
WebLogic,1
Azure PaaS,1
Azure AD,1
Chef,1
DevOps tools,1
Unix,1
dev,1
