column_name,count
SAP,37
ERP,33
SQL,31
English,31
CRM,25
SAP FI,18
SAP BO,17
SAP HANA,15
Java,12
SAP SD,11
SAPC,11
Dynamics 365,11
Microsoft Dynamics D365FO,11
Microsoft Dynamics AX2012,11
Spring,11
LMS,11
Oracle databases,10
Low-code/No-code,10
HRIS,10
NAV,10
Payroll,10
Siebel,10
sod,9
Salesforce,8
MS SQL,7
X++,6
Oracle DB,5
SAS,5
UI5,5
SAP BASIS,5
ABAP,5
Oracle SQL,5
SAP EWM,5
C#,4
SAP FI/CO/AA/RE-FX/PS,4
Cloud,4
SAS4GL,4
SaaS,4
CI/CD,4
UML,4
JavaScript,4
ABAP OO,4
BPMN,4
Customer Engagement,4
Problem Solving,3
JIRA,3
Oracle,3
Scrum,3
SAP ERP,2
Angielski,2
Inne systemy ERP,2
Comarch XL,2
Databases,2
Microsoft,2
SAP CO,2
FI/CO,2
Windows Administration,2
AWS,2
XML,2
SAP HCM,2
Communication Skills,2
REST API,2
SAP S/4HANA,2
PL/SQL,2
T-SQL,2
SAP PS,1
JD Edwards,1
MS Dynamics 365 F&O,1
SAP FICO,1
SAP Migration tools,1
D365,1
SAP Technical Architect / BASIS,1
SAP CPI,1
SAP Hybris,1
POS,1
German,1
Microsoft Dynamics CRM on Dynamics 365 for Sales (online),1
HTML5,1
Zarządzanie Projektami,1
Analityczne Myślenie,1
Basics of algorithmics,1
VB6,1
Adobe Forms,1
Fiori,1
Smart Forms,1
SAP SuccessFactor,1
Power BI,1
MS SQL Server,1
Troubleshooting,1
API,1
SAP MM/WM/SD,1
Analiza Biznesowa,1
WCF,1
MS Office,1
AX 2012,1
SAP OTC,1
Oracle 19c,1
SAP BTP,1
Microsoft Azure Cloud,1
SAP ABAP,1
Conga,1
ITIL,1
SAS 4GL,1
Customer Support,1
FIORI APPS,1
SAP PO,1
People Management,1
Logical Thinking,1
VMware,1
DevOps,1
MS-Windows,1
SAP R3,1
MS Office 365,1
IT Support,1
SAS ETL,1
OTC,1
SD/MM,1
LUA,1
Niemiecki,1
HTML,1
Power Aps,1
Power Platform,1
Dynamics,1
HCM,1
SAP HR,1
Web API,1
Azure Cloud,1
sd,1
Power Automate,1
ubl,1
Infor LX,1
Windows Server,1
SAP SD/MM,1
SAP MM,1
SAP CRM,1
CDS Views,1
Microsoft Dynamics NAV,1
WinForms,1
Microsoft Azure,1
