column_name,count
Java,815
Spring,249
Spring Boot,249
Hibernate,89
AWS,85
SQL,83
Kotlin,72
English,57
Docker,46
Testing,45
Git,44
PostgreSQL,42
Distributed systems,40
Ruby on Rails,38
Java 11,36
Agile,35
Java 8,35
Java 8+,33
JavaScript,31
Angular,30
Kafka,26
Oracle,25
Scrum,25
J2EE,24
Groovy,22
React,22
JPA,21
Python,21
Microservices,21
Cloud,20
Struts,19
GWT,19
Oracle SQL,19
TDD,19
JUnit,19
CI/CD,19
Continuous Integration,18
SaaS,18
REST,17
REST API,17
Web 2.0,16
TypeScript,16
MongoDB,16
Java 11+,15
Maven,15
Spring MVC,13
JIRA,12
ANgular 7+,11
PL/SQL,11
C++,10
Solid,10
API,10
Scala,10
Trino,10
Bazy Danych,10
C#,10
Kubernetes,9
Microservice Architecture,8
SOAP,8
HTML5,8
SOA,8
MySQL,7
Angular 10,6
Android,6
Amazon AWS,6
"Junit with Mockito ,Spock",5
Java SE,5
Java 17,5
Databases,5
Architecture,5
RESTful,5
product owner,5
XML,5
Software Engineering,5
SpringBoot 2* and Spring,5
Polish,5
PHP,4
Java EE,4
Salesforce,4
Selenium,4
UML,3
Go,3
Test Automation,3
Data Structures,3
ReactJS,3
WebScraping,3
Spring Framework,3
Clean Code,3
Algorithms,3
object-oriented programming,3
jakarta,3
GraphQL,3
Confluence,3
Azure DevOps,3
HTML,3
German,3
Unit Testing,3
Linux,3
Leadership,3
GCP,3
Sprin,3
JSF,2
Elasticsearch,2
Problem Solving,2
HTTP protocol,2
Cucumber,2
Java 11/17,2
Java 8/11,2
Angular 2+,2
Back-end,2
.Net,2
Front-End,2
web,2
JVM,2
Azure,2
Microservice Infrastructure,1
BDD,1
OAS,1
Node.js,1
Angular 14,1
Senior Chapter Lead,1
Gosu,1
MariaDB,1
WebFlux,1
Teamwork,1
ORM,1
NetApp,1
Management,1
JSP,1
Design Patterns,1
Cloud Technology,1
Eclipse,1
Web Services,1
hybris,1
Embedded,1
OOP,1
System Design,1
Relacyjne Bazy Danych,1
JMESPath,1
English B2+,1
JavaEE 8,1
Java11,1
Angular 11,1
Java Server Faces,1
distributed architectures.,1
Legacy code,1
Adobe Experience Manager,1
AWS Cloud Native,1
java core,1
JMS,1
SharePoint,1
Playwright,1
Java Enterprise Edition,1
RabbitMQ,1
IT studies,1
JEE/Spring,1
Flink,1
JavaSE 8/11,1
CSS,1
IMS,1
GitLab,1
Oracle Service Bus,1
AngularJS,1
Tomcat,1
Big Data,1
Plugin,1
oauth,1
Team Management,1
Code Review,1
Bitbucket,1
Digital marketing,1
Sping Boot,1
Google Cloud Platform,1
Product Management,1
JAX-RS,1
GitHub,1
DevOps,1
JavaScript Framework,1
Team Player,1
NoSQL,1
Querydsl,1
Java Automation Test Automation,1
PostreSQL,1
React Native,1
MS Azure,1
DellEMC,1
Mutiny,1
Spock,1
Java 8 and 11,1
"JUnit, Mockito;",1
WebLogic,1
EC2,1
Software Architecture,1
Rest Services,1
JavaServerFaces,1
Spring Core,1
Angular/React,1
test-driven development,1
Spring Boot (2.x);,1
Fluent in English,1
