column_name,count
JavaScript,612
TypeScript,432
React,333
Node.js,325
Angular,186
HTML,123
ReactJS,117
HTML5,93
Redux,79
CSS,73
English,70
AWS,39
Python,36
CSS3,33
Vue.js,30
React Native,29
Angular 2+,28
SCSS,26
Java,26
JS,25
RxJS,25
.Net,25
Vue,24
C#,23
SQL,22
Communication Skills,18
PostgreSQL,18
REST,18
AngularJS,17
Next.js,16
Nest.js,15
NodeJS,14
Microservices,14
Leadership,14
.NET Core,14
MySQL,12
NoSQL,12
ASP.NET,12
angular-CLI,11
Git,11
GraphQL,11
Azure Cloud,11
NPM,11
TypeScript/JavaScript,10
nestJS,9
Reac,9
Unit Testing,8
API,8
Front-End,8
Ruby on Rails,7
HTML5 / CSS3,7
Databases,6
Vue/Angular/React,6
Spring,6
REST API,6
ES6+,6
ECMAScript 6,6
Web Applications,5
Sencha EXT JS,5
GitHub,5
SASS,5
Angular 4+,5
Test Automation,5
Node,5
React.JS,4
Management,4
Team Management,4
HTML4,4
Cypress,4
Kubernetes,4
JS ES6,4
web,4
React.js.,4
Node.js Express,4
Flutter,4
Microservice Architecture,4
ServiceNow,4
Go,3
Angular 7,3
programmatic,3
2D graphics/algorithms,3
Angular 8+,3
PostgreSQL/MongoDB,3
Google Ad Manager (GAM),3
Responsive Web Design,3
backbone.js,3
C++,3
Polish,3
JavaScript/TypeScript,3
RabbitMQ,3
PWA,3
HTML/CSS,3
PHP,3
PWA Studio,2
Angular 13,2
LWC,2
Nest,2
Azure,2
WordPress,2
Salesforce,2
Apex,2
Playwright,2
Docker,2
Spring Boot,2
Magento 2,2
Webpack,2
Automated Testing,2
Clean Code,2
Express.js,2
Bootstrap,2
React/Angular,1
Język Niemiecki,1
OOP,1
Microsoft Power Platform,1
Vuex,1
Architecture,1
JobIT,1
Rok,1
TDD,1
JavaScript (ES6+),1
WebService,1
CMS,1
Java 11/17,1
Electron,1
JavaScript ES6/7,1
Agile,1
Cucumber,1
Spring Framework,1
Web Services,1
*React,1
RWD,1
jQuery,1
Angular.js,1
C,1
Type,1
Semantic UI,1
Scripting,1
jeden obiektowy język programowania,1
Ember.js,1
Manual Testing,1
Express,1
HTTP,1
Native Polish,1
Azure Services,1
JUnit,1
Relay,1
Composition API,1
React 16.8+,1
RSJX,1
Microsoft Dynamics CRM on Dynamics 365 for Sales (online),1
Brightscript,1
JIRA,1
Jest,1
Google Cloud Platform,1
MOBX,1
JavaScript Framework,1
Design fundamentals,1
UI,1
Hibernate,1
Angular 10,1
MS Azure,1
.NET C#,1
Java 8+,1
Angular 12,1
Scrum,1
Type script,1
Visual Studio,1
Fluent in English,1
