column_name,count
iOS,101
Android,88
Kotlin,84
Java,70
Swift,68
React Native,60
Flutter,57
Git,39
SQL,17
C#,16
XCode,16
English,15
TDD,14
TypeScript,12
iOS frameworks,12
Polish,12
PL/SQL,11
JIRA,11
REST,10
Android SDK,9
Mobile,8
iOS SDK,7
.Net,6
Android Studio,6
Gradle,6
UIKit,5
Xamarin,5
Dart,5
Mobile Development,5
HTML,4
Amazon AWS,4
Objective-C,4
MS SQL,4
JavaScript (ES6+),4
SwiftUI,4
Auto Layout,4
REST API,3
JavaScript,3
mobx-state-tree,3
MVVM,3
Mobile Apps,3
Agile,3
RxJava,2
5G,2
LTE,2
Coroutines,2
Swif,2
GitFLow,2
BLOC,2
C,2
UMTS,2
C++,2
BPMN,1
Firebase,1
WebService,1
HTML5,1
UMTS/LTE/5G,1
Combine,1
.NET Core,1
iOS or Android,1
Język Niemiecki,1
Troubleshooting,1
Google Pay,1
RESTful API,1
Customer Support,1
Linux,1
Matlab,1
CocoaPods,1
GitLab,1
IMS,1
JSON,1
Hilt/Dagger,1
Apple Pay,1
Communication Skills,1
Data binding,1
jeden obiektowy język programowania,1
React,1
Windows,1
OutSystems,1
Switf,1
język polski,1
Dagger,1
XML,1
CI,1
Unity,1
Rx,1
Kif,1
GitHub,1
MS SQL Server,1
