column_name,count
English,38
SQL,33
CRM,18
Power BI,17
JRules,16
IBM,16
IBM ODM,16
Salesforce,16
C#,15
Power Platform,13
Microsoft,12
Node.js,12
PL/SQL,11
SSO,11
Monitoring Tools,10
Microsoft Dynamics AX 2012,10
SAML,10
JIRA,10
AMS,10
NoSQL,10
Business Intelligence,10
Object Oriented Programming,10
D365,10
REST,10
CAN,10
Microsoft Dynamics 365 FO,10
MS Dynamics 365,10
Project Management,10
LabView,10
Express.js,10
Azure,9
Communication Skills,8
Microsoft Azure Cloud,8
Delphi,8
Agile,8
Python,7
MS Office,7
React,6
Apex,6
Databases,6
REST API,5
Microsoft 365,5
Sales Cloud,5
Microsoft Azure,5
JavaScript,5
ITIL,4
IAM security,4
Rust,4
AWS,4
Git,4
Go,4
Appian,4
SharePoint,4
Java,4
.Net,4
Linux,4
Harness,4
Webcon,4
SAP,3
Problem Solving,3
ServiceNow,3
TypeScript,3
Cloud,3
API,3
Leadership,3
Microsoft Windows,3
Kubernetes,3
Oracle SQL,3
Google Cloud,3
Cloud architecture,3
IBMi MQ,3
Groovy,3
RPG,3
Network Protocols,3
Microsoft Office,3
Scrum Master,2
Murex,2
XML,2
Data,2
System Administration,2
Scrum,2
Teamwork,2
hybris,2
Docker,2
VPN,2
z/os,2
Fluent in English,2
Team Management,2
Windows,2
GCP,2
Google Analytics,2
Azure DevOps,2
Azure Data Services,2
Spring,2
J2EE,2
Oracle,2
C programming,1
IMS,1
inżynieria systemowa,1
OOP,1
SSL,1
j.angielski,1
GitLab,1
Cloud Providers,1
CSS,1
Embedded,1
Bank's Systems architecture,1
Język Niemiecki,1
Centrum,1
Microsoft Exchange,1
Google Search Console,1
Information Management,1
Power Aps,1
Information Security,1
SSL-VPN,1
CMDB,1
QlikView,1
Power Apps Platform,1
Keyword Planner,1
VLSM,1
Observability,1
Software Development,1
B2B Contracts,1
*Microsoft Power Platform,1
Embedded C,1
good time management,1
experience,1
Cybersecurity,1
Telco,1
AngularJS,1
Dataverse,1
Matlab,1
MariaDB,1
MS PowerApps,1
WPF,1
Good comunicate skills,1
C++,1
sprzęt telekomunikacyjny,1
Business Analysis,1
ReactJS,1
Ansible,1
microcontrollers,1
PO,1
SAFe,1
DataMart,1
WebService,1
SAS 4 GL,1
Haskell,1
Technical expertise,1
Cloud Technology,1
BPMN,1
ETL tools,1
L2,1
UTM,1
RTE,1
GSUITE,1
GKE,1
Bash,1
ms teams,1
Linux / Unix,1
Clouds based solution,1
Ribbon Workbench,1
HTML,1
Zarządzanie Projektami,1
j.polski,1
analityczność,1
C,1
MxML trade representation,1
Cisco,1
solve problems,1
Solidity,1
Agile methods,1
Network,1
Redux,1
MuleSoft,1
AS400,1
TCP/IP,1
Writing,1
PDF,1
Adobe Experience Manager,1
GIS,1
MS Sharepoint,1
Powershell,1
Dynatrace,1
Digital marketing,1
SaaS,1
UML,1
C embedded development,1
VoLTE,1
Adobe Analytics,1
automation,1
copywriting,1
Marketing Cloud,1
OutSystems,1
product owner,1
IaC,1
Dynamics 365 CE,1
Autosar,1
IT Contracts,1
RAML,1
BGP,1
Strategic/tactical skills,1
Commerce Cloud,1
sparx Enterprise,1
Power Platform AI Builder,1
Team Player,1
DevOps,1
iOS,1
xsl,1
MOBX,1
LowCode,1
B2B Sales,1
Product Management,1
Flexcube,1
Workday,1
SAS,1
Google Cloud Platform,1
jeden obiektowy język programowania,1
4D,1
Edlund,1
LAN,1
Power Automate,1
Matomo,1
Cobol,1
redagowanie tekstów,1
Web API,1
cplace,1
Next.js,1
other,1
Android,1
IP networks,1
OSPF,1
BI,1
fintech experience,1
Selenium,1
Mainframe,1
