column_name,count
Agile,152
English,126
Scrum,114
Project Management,95
Product Management,80
JIRA,63
PRINCE2,50
Communication Skills,35
Confluence,31
Scrum Master,28
Management,25
Analytical Thinking,25
Angielski,22
Networks,21
Tworzenie oprogramowań,19
data oriented products,19
prowadzenie projektów,19
working with UX teams,19
Kanban,15
Python,14
grasp concepts,12
digital projects,12
Team Management,12
analytical skill,11
C#,11
organisation,11
PSM,10
Figma,10
SASS,10
UX,10
Technical Knowledge,10
UI,9
Portfolio Management,9
Analiza Danych,8
PMP,8
Leadership,8
Problem Solving,8
Polish,8
People Management,7
Web Applications,7
Team Leadership,7
PgMP,7
SAFe,7
Microsoft Office,7
Risk Management,6
SCCM,6
Delivery Management,6
MS Excel,6
product owner,6
Firewall,6
Software Development,6
Switch,5
IT Support,5
Apps technologies,5
VPN,5
AWS,5
Client Management,5
SAP,5
Software Engineering,5
Amazon AWS,4
product development,4
Team Player,4
SaaS,4
E-commerce,4
PM,4
Windows 10,4
Mobile,4
R,4
Automotive,4
Git,4
Product Ownership,3
Microsoft,3
IT,3
API,3
Office 365,3
Teamwork,3
Asana,3
Data analysis,3
Cloud,3
Power BI,3
Security,2
Xamarin,2
React,2
German,2
CI/CD,2
Network Administration,2
Windows Server,2
MECM,2
Microsoft Endpoint Configuration Management,2
S/4 HANA,2
UML,2
Continuous Improvement,2
Analiza Biznesowa,2
MS Office,2
Information Security,2
Service Delivery,2
Java,2
Mobile Solutions,2
Agile (SCRUM/Kanban),2
NLP,1
PSM II,1
Contact with a client,1
WebEx,1
SEO,1
French,1
Trello,1
Lean,1
MVP,1
UX / UI,1
MES,1
TensorFlow,1
Software Quality,1
Business Continuity,1
Tech Lead,1
.Net,1
SharePoint,1
agile ceremonies,1
Mobile Apps,1
Salesforce,1
Atlassian,1
IBM,1
Java 8,1
Ruby,1
Technical Experience,1
SDK,1
IP,1
Client Service,1
REST/JSON,1
PO/PM,1
BPMN,1
experience,1
Elixir,1
Zarządzanie zespołem,1
VoiP,1
.NET Core,1
Monitoring Tools,1
mpls,1
SIAM,1
B2B Contracts,1
Hardware Asset Management,1
Node.js,1
Clarity PPM,1
Google Cloud Platform,1
Spring,1
Pandas,1
SRE,1
Jenkins,1
SAP PP,1
SD-WAN,1
REST,1
System implementation,1
Backend,1
data migration,1
User Stories,1
Development Manager,1
line management,1
MIRO,1
Coaching,1
IT Contracts,1
Ethereum,1
Planning Management,1
Google Analytics,1
Communication,1
Planowanie,1
GCP,1
Clickup,1
Cisco,1
ERP,1
Budowanie relacji,1
CRM,1
interpersonal skills,1
Redmine,1
RESTful API,1
ITIL,1
VMware,1
SAS,1
Postman,1
IT Continuity,1
Android/iOS,1
Azure DevOps,1
Linux,1
Data,1
GitHub,1
Testing,1
Go,1
Mobile Development,1
Analytics,1
DevOps,1
UAT,1
eCommerce,1
Decyzyjność,1
other,1
Machine Learning,1
Budget Management,1
Youtrack,1
