column_name,count
Python,405
SQL,105
Django,104
AWS,58
C++,55
Java,46
Git,41
Docker,32
Flask,28
PostgreSQL,25
Python 3.x,23
English,21
Go,20
JavaScript,20
Linux,19
REST API,18
Kubernetes,15
Bash,14
Machine Learning,14
pytest,13
Azure,12
matplotlib,11
React,11
.Net,10
DRF,10
Python 3,10
RESTful API,10
Postgres,10
Backend,8
TensorFlow,8
NLP,7
Snowflake,7
OpenCV,7
TypeScript,7
CI/CD,7
"React, Flask",6
Polish,6
"Amazon Aurora (mySQL), S3, Parquet, Redshift/Snowflake",6
Django Rest Framework,5
Data Science,5
fastapi,5
Spring Boot,5
PHP,5
TCP,5
Embedded Systems,5
WebScraping,4
JIRA,4
MySQL,4
Test Automation,4
software testing,4
NLU,4
PyTorch,4
Pydantic,4
Team Leadership,4
C,4
MuleSoft,3
Microservices,3
Unix,3
Rust,3
RDKit,3
REST,3
ROS,3
Databases,3
Spark,3
Analiza Danych,3
OpenBabel,3
HTML5,3
JSON,3
"AWS (EC2, ECS), Buildkite, ELK, Docker",3
SQLAlchemy,2
Leadership,2
Teamwork,2
GitHub,2
Terraform,2
Perl,2
OOP,2
Linux (Bash),2
Deep Learning,2
Kotlin,2
Node.js,2
CI context,1
MLOps,1
GitFLow,1
Cloud,1
Agile,1
Bazy Danych,1
WAN,1
BigQuery,1
scikit-learn,1
ReactJS,1
Helm,1
Network Protocols,1
Contact with a client,1
NLP algorithms,1
API,1
Tableau,1
Scala,1
ETL tools,1
Java/Python,1
OpenAPI,1
Cloud Technology,1
asyncio,1
Computer Vision,1
Power BI,1
Amazon AWS,1
Mobile Robotics,1
Digital marketing,1
Code Review,1
ML,1
GCP,1
JS,1
SUSE,1
Networks,1
STL,1
AD/ADAS,1
Powershell,1
Communication Skills,1
C++17,1
HTTP,1
Python/Django,1
Problem Solving,1
R,1
Pandas,1
jinja,1
XML,1
Linux OS,1
C/C+,1
NumPy,1
HTML,1
Product Management,1
Django / Twisted / Flask,1
Red Hat,1
Kafka,1
Conda,1
DevOps,1
PostreSQL,1
Java/Scala,1
C/C++,1
other,1
ARM embedded systems,1
API Testing,1
LAN,1
Golang,1
Jenkins,1
Analytical Thinking,1
Scrum,1
MariaDB,1
