column_name,count
Cybersecurity,67
IT Security,41
Java,32
Windows,31
Linux,28
Security,21
Software Development,20
Spring,20
JavaScript,20
MR,19
GitLab,19
Firewall,15
AWS,14
Python,14
English,12
DevOps,11
Networks,11
PCI DSS,10
ISO 27001,10
Automotive,10
Cloud,9
Go,9
Azure,8
Windows Server,7
Public Clouds,6
AV,6
MS Windows,5
Microsoft Sentinel,5
Information Security,5
SoC,5
Business Development,5
DLP,5
Presales,5
Cloud Engineering,4
Endpoint,4
Security testing tools,4
Blue Coat,4
ISO 21434,4
SME,4
Powershell,4
threat modeling,4
SIEM,4
Azure CI/CD,4
ISC2,4
Bash,4
CompTIA,4
Google Cloud Platform (GCP),4
Windows OS,3
Sentinel,3
Ruby on Rails,3
SOC 2,3
Zarządzanie incydentami bezpieczeństwa,3
NIST,3
Elasticsearch,3
Linux/Unix OS,3
C++,3
Troubleshooting,3
PostgreSQL,3
CSA,3
GDPR,3
Splunk Enterprise,3
Endpoint Protection (Antivirus),3
Network Security,2
IPS,2
Microsoft,2
API,2
SDLC,2
C,2
LAN,2
switching,2
Team Management,2
OWASP,2
Jenkins,2
Angielski,2
Leadership,2
Cloud security,2
Microsoft Cloud,2
routing,2
Teamwork,2
Network,2
Static Application Security Testing (SAST),1
Agile,1
Docker,1
WAN,1
Cloud Technology,1
Governance,1
Active Directory,1
Zarządzanie ryzykiem,1
Cryptography,1
DDos,1
Data,1
Metasploit,1
firewall systems,1
Identity Protection,1
Product Management,1
TCP/IP,1
PC,1
LAN/WAN,1
OSPF,1
ISO 27000,1
Amazon Web Services,1
ITIL,1
WAF,1
Nessus,1
Risk Management,1
MS Windows Server,1
CDK,1
Word,1
Problem Solving,1
CEH,1
CI/CD,1
SecOps,1
web security,1
Linux (Ubuntu),1
Power BI,1
Splunk,1
bezpieczeństwo informacji,1
Burp Suite Pro,1
Databases,1
DAM,1
Unix,1
SIEM/SOAR,1
Kubernetes,1
CloudFormation,1
ELK,1
SQL,1
Infrastructure security,1
EPM,1
C/C++,1
Threat Modelling,1
TypeScript,1
Digital marketing,1
OSCP,1
SAP GRC,1
SaaS,1
Check Point,1
VMware,1
Cisco,1
Scrum,1
