column_name,count
English,61
SQL,51
IT Support,37
Linux,26
Basic Network,20
German Business,20
Azure,17
Helpdesk,15
Microsoft 365,15
Customer Support,14
SCCM,14
Troubleshooting,14
Azure DevOps,13
Contact with a client,13
Windows Server,13
Scrum,13
API,12
Windows,12
ITIL,11
Office 365,11
BPMN2,10
Bazy Danych,10
BMPS,10
Oracle DB,10
UML,10
O365,10
Microsoft Windows Server,8
Windows 10,8
JIRA,8
Active Directory,8
Polish,7
Communication Skills,7
E-commerce,6
LAN/WAN,6
German,6
Microsoft Azure,6
Powershell,5
ITIL process,5
trouble shooting skills,5
Python,5
Confluence,5
Salesforce,5
Analytical skills,5
Directory Services,4
PowerPlatform,4
Dataverse,4
Power Automate,4
Android,4
SaaS,4
PL/SQL,4
Java,4
AAD,4
MS Windows Server,4
Mac OS,4
Postman,4
Bash,3
Microsoft Office,3
Power BI,3
Microsoft Sharepoint,3
Webcon,3
MS SQL Server,3
PMI,3
Sequence diagrams,3
Appian,3
REST API,3
Team Player,3
Docker,3
Unix,3
LAN,2
BY RedPrairie Dispatcher,2
Microsoft Windows,2
Networking,2
Databases,2
Support,2
Red Hat,2
Service Desk,2
Angielski,2
AIX,2
SAP,2
TCP/IP,2
monitoring,2
MS Office,2
Documentum,2
C++,2
Software Development,2
CSS,2
Problem Solving,2
Git,2
MsSQL,2
ERP,2
Excel,2
.Net,2
Spark,2
SAP HANA,1
Fortinet,1
Power Platform,1
Jira/Confluence,1
C#,1
ms teams,1
Oracle SQL,1
GitLab,1
L1/L2/L3 Support,1
Embedded,1
SAP BTP Cloud Integration (CPI),1
Hyper-V,1
hiszpański,1
AppDynamics,1
SAP CO,1
Intel,1
B2B Contracts,1
Monitoring Tools,1
CI/CD,1
Zendesk,1
Trading voice,1
IP,1
Wireshark,1
Scrum/Kanban,1
Atlassian,1
MS Dynamics 365,1
Mobile Device Management,1
eTOM,1
obsługa klienta,1
PrestaShop,1
MS Windows,1
ServiceNow,1
Team Management,1
MS operating system,1
Tech support,1
Windows 11,1
JavaScript (jQuery),1
POS,1
BPMN,1
Analiza Danych,1
UTM,1
UNIX \ LINUX,1
Monitoring systems,1
Microsoft Office Professional Suite,1
MySQL,1
VLSM,1
MLC,1
Lan/Wan/Wifi,1
Komunikatywność,1
Mac,1
Spanish,1
tcpdump,1
Kubernetes,1
SAP Process Integration 7.5,1
SRE,1
JS,1
VMware,1
Analytical Thinking,1
Microsoft Exchange,1
Znajomość podstaw sieci transmisyjnych oraz protokołów sieciowych,1
TCP,1
IT contract management,1
VPN,1
AML,1
Murex,1
SAP HR,1
IT Contracts,1
Outlook,1
Service Now,1
Dynatrace,1
User Research,1
AWS,1
IP technologies,1
Logical Thinking,1
SSL-VPN,1
Power Aps,1
DNS,1
HTML,1
Znajomość podstaw protokołów TCP /IP,1
JavaScript,1
GitHub,1
Basics of algorithmics,1
iOS,1
SQL Server,1
IT,1
Groovy,1
FinTech,1
SAP FI,1
GitHub on ELK,1
KYC,1
MS Office 365,1
ST,1
podstawy IT,1
Magento,1
Microsoft,1
other,1
WordPress,1
