column_name,count
Figma,63
UX,50
UX Design,35
Adobe XD,30
Figma/ Sketch/ Axure,19
Design Thinking,19
UI,19
Sketch,18
MIRO,18
Adobe Photoshop,16
UX Research,15
English,12
Illustrator,11
Team Leadership,10
UI Design,8
JIRA,5
Confluence,5
Adobe CC,4
Ilustrator,3
Product design,3
Product Designer,3
After Effects,3
Amplitude,3
UX/UI,2
UX/CX,2
ReactJS,2
maze,2
UX Wireframe,2
HotJar,2
Java,2
Leadership,2
JavaScript,2
Team Management,2
Axure,2
UML,2
User Flow,1
Azure DevOps,1
Canva,1
Wireframes,1
wireframing,1
Adobe Indesign,1
Cloud Technology,1
Design,1
Teamwork,1
Adobe AfterEffects,1
Problem Solving,1
Photoshop/Illustrator/InDesign or similar,1
Design Systems,1
Product Management,1
workshops with clients,1
JS ES6,1
Product Discovery,1
SharePoint,1
Webflow,1
AWS,1
Adobe Creative Suite,1
Graphic design,1
REST,1
workshops,1
Web Applications,1
Digital marketing,1
