skill,count,mean,median,std,min,max
Java,896,19243.24892857143,18000.0,6710.653496059785,5000.0,42000.0
SQL,586,16551.904078498294,15000.0,7983.104045651735,4000.0,43664.5
Python,685,19548.072408759122,18000.0,7955.9807011233,3500.0,54600.0
JavaScript,600,17361.629,17000.0,6753.083320393677,3200.0,36000.0
English,449,15899.895322939867,15120.0,6614.200559092025,3600.0,35280.0
AWS,570,21340.753877192983,22000.0,7021.539814500198,5000.0,43664.5
C#,342,18813.48245614035,16800.0,10025.439110821728,3000.0,47600.0
TypeScript,434,17616.8133640553,18000.0,6554.767058164279,5000.0,36000.0
.Net,336,19331.438095238096,18240.0,8552.247953443077,4200.0,47600.0
Linux,240,16754.754166666666,16000.0,6839.00906610444,3600.0,29666.0
React,308,19552.045454545456,18000.0,7834.622637219613,5000.0,42000.0
Node.js,289,16866.667820069204,18000.0,5101.210445308928,5000.0,32000.0
C++,205,17071.976585365854,16000.0,5433.242953413884,4000.0,36000.0
Azure,224,20933.212499999998,20000.0,8003.4206253346065,7000.0,60480.0
PHP,211,14515.577251184834,14000.0,5249.893954420507,4000.0,25000.0
Spring,245,18640.759346938776,17000.0,6551.17944816193,5000.0,40000.0
Docker,218,18158.491743119266,18000.0,7511.479116746182,5000.0,60480.0
Git,200,14178.094,13100.0,4479.775630710936,4500.0,28020.0
Agile,150,18544.820533333335,18493.2,5641.653536426016,5000.0,33736.08
Angular,213,17759.38028169014,18000.0,5908.850715199616,4000.0,40000.0
Kubernetes,174,20667.64367816092,20100.0,7910.270025245715,8500.0,60480.0
Spring Boot,201,19533.512437810947,19500.0,4930.867426842312,9000.0,32000.0
JIRA,147,16570.843537414967,15900.0,6326.508122439817,5000.0,42030.0
UML,113,15782.761061946903,15000.0,5470.364308308282,5000.0,35000.0
.NET Core,148,17809.72972972973,18000.0,4254.160340016102,8000.0,32000.0
MySQL,156,14220.294871794871,12500.0,6133.29754091491,4000.0,30000.0
Kotlin,129,15978.922480620155,14000.0,7658.693743277557,5000.0,42000.0
DevOps,73,22846.715068493155,21000.0,8205.779032995779,12000.0,34320.0
HTML,124,15455.467741935483,15000.0,6982.740576471429,3200.0,29000.0
Scrum,123,15018.951219512195,14600.0,4956.909053183787,6000.0,28020.0
REST API,101,17058.617821782176,18000.0,6627.406798445317,6000.0,38610.0
BPMN,64,12505.3125,12000.0,3989.0218273267055,5000.0,21000.0
HTML5,107,13309.81308411215,12000.0,5671.383642248427,4500.0,23520.0
ReactJS,130,18611.576923076922,19000.0,5337.5458792798045,5000.0,32000.0
PostgreSQL,111,15919.981981981982,15000.0,5501.046350025325,5000.0,26000.0
CI/CD,128,22856.40625,23520.0,5651.5624951699,7200.0,30000.0
Cloud,90,19574.833333333332,21840.0,5093.00536261209,4000.0,35000.0
C,41,15479.365853658537,17000.0,6688.248835667291,4000.0,25000.0
ASP.NET,85,22527.764705882353,21840.0,7295.156967610281,10000.0,36000.0
Terraform,95,19133.57894736842,18000.0,5482.9528687792135,7000.0,35000.0
Test Automation,91,15659.802197802197,14000.0,4970.4886082641815,6000.0,25000.0
Communication Skills,73,13637.246575342466,14000.0,5498.842122515991,4000.0,30000.0
Project Management,47,14057.446808510638,11000.0,6597.446629958642,4000.0,30000.0
Testing,74,17720.81081081081,14600.0,6762.292258831626,7000.0,27000.0
CSS,85,13118.082352941177,15000.0,5116.521449494495,4000.0,24882.0
Android,66,13681.984848484848,11000.0,4377.108882469988,3600.0,25200.0
Windows,37,14908.108108108108,14000.0,5794.795479967749,3600.0,22000.0
Django,104,18035.096153846152,16400.0,5036.232216858252,4000.0,25200.0
iOS,73,15925.97808219178,15000.0,6099.325326219983,5000.0,25200.0
Power BI,59,13243.050847457627,12000.0,6634.99376457813,5000.0,33600.0
Oracle,49,12112.938775510203,8000.0,5849.545806471371,7500.0,28560.0
MS SQL,29,14114.48275862069,12000.0,7273.453486189593,5000.0,30000.0
Product Management,81,22211.567901234568,23300.0,6828.040201877608,11000.0,35025.0
React Native,85,19618.188235294117,16800.0,6002.83641982632,5000.0,31000.0
Windows Server,55,13225.454545454546,14000.0,7017.655464290635,5000.0,27000.0
Hibernate,79,16358.987341772152,15000.0,5815.772452373496,7000.0,30000.0
